Trial ID,L2 Reg,Dropout,Otimizador,Learn Rate,Peso C0,Val Macro-F1,Val Bal Acc,Val Unknown Recall,Val AUC,Val Precision,Val Loss
33,,0.2,adam,0.002,0.5,0.903639557789081,0.930653630273402,0.6958174904942965,,,0.3638196587562561
11,,0.4,adam,0.001,0.1,0.9004453317153276,0.9422224763429486,0.6121673003802282,,,0.43912360072135925
34,,0.2,adam,0.002,0.1,0.8970520215565149,0.9432659595757454,0.5741444866920152,,,0.48579081892967224
46,,0.4,adam,0.0005,0.75,0.8961046613071094,0.9229680665542183,0.7110266159695817,,,0.41372308135032654
00,,0.1,adam,0.0005,0.1,0.8950924277367542,0.9432659595757453,0.5741444866920152,,,0.4379864037036896
61,,0.3,adam,0.0005,0.25,0.8926076441996224,0.9317590554332602,0.623574144486692,,,0.4161052107810974
48,,0.4,adam,0.003,0.25,0.8875675508539382,0.9326977138664151,0.5665399239543726,,,0.49200505018234253
50,,0.1,adam,0.002,0.1,0.8863195008223669,0.935370746257278,0.5513307984790875,,,0.5375426411628723
58,,0.4,adam,0.001,0.25,0.8827031891620284,0.9307965731820043,0.5399239543726235,,,0.5119925737380981
60,,0.4,adam,0.0005,0.25,0.8824967584853297,0.9279567740644387,0.5703422053231939,,,0.5015458464622498
53,,0.2,adam,0.0005,0.1,0.8805913400142499,0.9299198566759103,0.5627376425855514,,,0.5034856796264648
55,,0.3,adam,0.003,0.1,0.8772934466574176,0.9294386155502826,0.5209125475285171,,,0.5447236895561218
52,,0.3,adam,0.002,0.1,0.8704145847711627,0.9332170731010034,0.43346007604562736,,,0.6486698985099792
62,,0.3,adam,0.0005,0.1,0.8617970942042985,0.9231920104443619,0.43346007604562736,,,0.6239480972290039
30,,0.4,adam,0.0005,0.1,0.8582984647661805,0.9205189780534988,0.44866920152091255,,,0.6062049269676208
59,,0.4,adam,0.002,0.1,0.8502991142414505,0.9145868473465031,0.41825095057034223,,,0.6715881824493408
